"themes","primary_theme","orientation","specificity","confidence","reasoning"
"data concepts terminology; collecting and compiling data; data analysis skills","data concepts terminology","multiple","specific","medium","Leads with 'learn about data concepts', then adds gathering and interpreting information."
"collecting and compiling data; data analysis skills","collecting and compiling data","multiple","general","medium","'the manner in which we collect data' names data collection as the lead want, with 'use it' adding a broader application."
"data analysis skills; general knowledge","data analysis skills","technical","specific","medium","""how to interprete datas efficiently"" names data interpretation, a data analysis skill."
"applying to work; general knowledge","applying to work","applied","general","medium","Wants a new skill to 'help me on a day to day basis in my job', signaling job application, though the skill itself is unspecified."
"decision making","decision making","applied","specific","high","Explicitly names using data for 'forecasting and informed decison'."
"general knowledge","general knowledge","conceptual","general","low","Only vague aspirations of 'increased knowledge and competencies' with no named data capability."
"data analysis skills","data analysis skills","technical","general","medium","The phrase 'analyzing data' names the analysis capability but without concrete methods or tools."
"data analysis skills; data concepts terminology","data analysis skills","multiple","specific","high","Leads with 'data analysis including new methods and spreadsheet applications' before naming types of data and why they matter."
"general knowledge","general knowledge","conceptual","general","low","The phrase ""enhance my learning on data and other components"" is a broad, unelaborated hope naming no specific capability."
"reporting and management; applying to work","reporting and management","applied","specific","high","The response names 'manage data workload', 'data cleaning and reporting', which are the core of the reporting and management theme."
"collecting and compiling data; data analysis skills; reporting and management","collecting and compiling data","technical","specific","medium","Response names 'data compilation, analysis and reporting', leading with compilation."
"data concepts terminology; data analysis skills; reporting and management; applying to work; decision making; improving organisation","data concepts terminology","multiple","specific","high","Leads with understanding of 'data management, analysis, governance, and visualization' concepts before spanning application, decisions, and organisational improvement."
"data analysis skills; reporting and management; collecting and compiling data","data analysis skills","technical","specific","high","Leads with 'manipulate data, data analysis' before reporting/sharing and 'improve data collection, create questionnaire/survey'."
"data analysis skills","data analysis skills","technical","general","low","""better manoeuvre data"" implies manipulating/handling data but is vague."
