"id","timestamp","age","sex","location","feedback"
"CS-2026-0001","2026-01-05 12:00:07",42,"Female","La Riviere Anglaise","I was treated with contempt when I asked for clarification. Appalling attitude from the front desk."
"CS-2026-0002","2026-01-05 11:18:15",53,"Male","Bel Ombre","I was overcharged and when I complained they refused to explain the fees. Dishonest and unhelpful."
"CS-2026-0003","2026-01-06 12:36:03",59,"Female","Au Cap","The parking was a nightmare and inside it was chaos with no proper queue system. Badly managed."
"CS-2026-0004","2026-01-06 16:17:57",18,"Male","Anse Boileau","I waited over three hours at the counter and no one bothered to help me. Absolutely unacceptable service."
"CS-2026-0005","2026-01-06 11:00:24",46,"Female","Anse aux Pins","The toilets were filthy, the air conditioning was broken, and staff did not care. A miserable experience."
"CS-2026-0006","2026-01-07 14:30:33",28,"Male","Takamaka","My case has been pending for weeks with no updates. Every follow-up is met with excuses and delays."
"CS-2026-0007","2026-01-07 16:28:10",21,"Male","Beau Vallon","I submitted my forms two months ago and still received no response. This delay is completely unacceptable."
"CS-2026-0008","2026-01-07 15:23:44",18,"Female","Pointe Larue","The waiting area was overcrowded and the staff kept disappearing on long breaks. Shameful."
"CS-2026-0009","2026-01-08 11:59:09",34,"Female","Baie Sainte Anne","I was treated with contempt when I asked for clarification. Appalling attitude from the front desk."
"CS-2026-0010","2026-01-08 11:51:03",50,"Male","Bel Air","I took a day off work only to be told the system was down. No apology, no alternative. Infuriating."
"CS-2026-0011","2026-01-09 12:25:51",59,"Female","Bel Ombre","Everything was handled efficiently and kindly. A genuinely positive and pleasant experience."
"CS-2026-0012","2026-01-12 11:24:56",36,"Male","Pointe Larue","They demanded documents that were never mentioned before, forcing me to come back yet again. Ridiculous."
"CS-2026-0013","2026-01-12 12:09:17",34,"Male","Mont Buxton","I was given three different answers by three different officers. Nobody knows what they are doing here."
"CS-2026-0014","2026-01-12 14:31:03",26,"Female","Baie Sainte Anne","Thank you for the prompt and helpful assistance. The officer went out of their way to help me."
"CS-2026-0015","2026-01-12 12:34:05",34,"Male","Grand Anse Mahe","The toilets were filthy, the air conditioning was broken, and staff did not care. A miserable experience."
"CS-2026-0016","2026-01-12 11:25:22",45,"Male","Bel Ombre","The officer was abrupt, unfriendly and clearly wanted me gone as fast as possible. Very rude."
"CS-2026-0017","2026-01-12 11:37:23",18,"Female","Pointe Larue","The waiting area was overcrowded and the staff kept disappearing on long breaks. Shameful."
"CS-2026-0018","2026-01-12 15:06:05",57,"Male","Beau Vallon","I waited over three hours at the counter and no one bothered to help me. Absolutely unacceptable service."
"CS-2026-0019","2026-01-12 12:29:23",39,"Female","Takamaka","The person serving me was impatient and spoke to me in a condescending, rude manner."
